"ATTRIBUTENAME","CATEGORYNAME","CAT_NO","ATT_NO","CODE","DESCRIPTION","CODESOURCE"
"Project Type","General","3","2","2","District minor","user"
"Project Type","General","3","2","3","Other","user"
"Project Type","General","3","2","4","Spot pavement ","user"
"Project Type","General","3","2","5","Preventative ","user"
"State","Administration","4","4","1","Alabama","fips"
"State","Administration","4","4","2","Alaska","fips"
"State","Administration","4","4","4","Arizona","fips"
"State","Administration","4","4","5","Arkansas","fips"
"State","Administration","4","4","6","California","fips"
"State","Administration","4","4","8","Colorado","fips"
"State","Administration","4","4","9","Connecticut","fips"
"State","Administration","4","4","10","Delaware","fips"
"State","Administration","4","4","11","District of Columbia","fips"
"State","Administration","4","4","12","Florida","fips"
"State","Administration","4","4","13","Georgia","fips"
"State","Administration","4","4","15","Hawaii","fips"
"State","Administration","4","4","16","Idaho","fips"
"State","Administration","4","4","17","Illinois","fips"
"State","Administration","4","4","18","Indiana","fips"
"State","Administration","4","4","19","Iowa","fips"
"State","Administration","4","4","20","Kansas","fips"
"State","Administration","4","4","21","Kentucky","fips"
"State","Administration","4","4","22","Louisiana","fips"
"State","Administration","4","4","23","Maine","fips"
"State","Administration","4","4","24","Maryland","fips"
"State","Administration","4","4","25","Massachusetts","fips"
"State","Administration","4","4","26","Michigan","fips"
"State","Administration","4","4","27","Minnesota","fips"
"State","Administration","4","4","28","Mississippi","fips"
"State","Administration","4","4","29","Missouri","fips"
"State","Administration","4","4","30","Montana","fips"
"State","Administration","4","4","31","Nebraska","fips"
"State","Administration","4","4","32","Nevada","fips"
"State","Administration","4","4","33","New Hampshire","fips"
"State","Administration","4","4","34","New Jersey","fips"
"State","Administration","4","4","35","New Mexico","fips"
"State","Administration","4","4","36","New York","fips"
"State","Administration","4","4","37","North Carolina","fips"
"State","Administration","4","4","38","North Dakota","fips"
"State","Administration","4","4","39","Ohio","fips"
"State","Administration","4","4","40","Oklahoma","fips"
"State","Administration","4","4","41","Oregon","fips"
"State","Administration","4","4","42","Pennsylvania","fips"
"State","Administration","4","4","44","Rhode Island","fips"
"State","Administration","4","4","45","South Carolina","fips"
"State","Administration","4","4","46","South Dakota","fips"
"State","Administration","4","4","47","Tennessee","fips"
"State","Administration","4","4","48","Texas","fips"
"State","Administration","4","4","49","Utah","fips"
"State","Administration","4","4","50","Vermont","fips"
"State","Administration","4","4","51","Virginia","fips"
"State","Administration","4","4","53","Washington","fips"
"State","Administration","4","4","54","West Virginia","fips"
"State","Administration","4","4","55","Wisconsin","fips"
"State","Administration","4","4","56","Wyoming","fips"
"State","Administration","4","4","60","American Samoa","fips"
"State","Administration","4","4","66","Guam","fips"
"State","Administration","4","4","69","Northern Mariana Islands","fips"
"State","Administration","4","4","72","Puerto Rico","fips"
"State","Administration","4","4","78","Virgin Islands of the U.S.","fips"
"F_System","Administration","4","2","1","Interstate","hpms"
"F_System","Administration","4","2","2","Principal Arterial-Other Freeways & Expressways","hpms"
"F_System","Administration","4","2","3","Principal Arterial-Other","hpms"
"F_System","Administration","4","2","4","Minor Arterial","hpms"
"F_System","Administration","4","2","5","Major Collector","hpms"
"F_System","Administration","4","2","6","Minor Collector","hpms"
"F_System","Administration","4","2","7","Local","hpms"
"Ownership","System","1","3","1","State Hwy Agency","hpms"
"Ownership","System","1","3","2","County Hwy Agency","hpms"
"Ownership","System","1","3","3","Town or Township Hwy Agency","hpms"
"Ownership","System","1","3","4","City or Municipal Hwy Agency","hpms"
"Ownership","System","1","3","11","State Park, Forest, or Reservation Agency","hpms"
"Ownership","System","1","3","12","Local Park, Forest, or Reservation Agency","hpms"
"Ownership","System","1","3","21","Other State Agency","hpms"
"Ownership","System","1","3","25","Other Local Agency","hpms"
"Ownership","System","1","3","26","Private (other than Railroad)","hpms"
"Ownership","System","1","3","27","Railroad","hpms"
"Ownership","System","1","3","31","State Toll Authority","hpms"
"Ownership","System","1","3","32","Local Toll Authority","hpms"
"Ownership","System","1","3","40","Other Public Instrumentality (e.g., Airport, School, University)","hpms"
"Ownership","System","1","3","50","Indian Tribe Nation","hpms"
"Ownership","System","1","3","60","Other Federal Agency","hpms"
"Ownership","System","1","3","62","Bureau of Indian Affairs","hpms"
"Ownership","System","1","3","63","Bureau of Fish and Wildlife","hpms"
"Ownership","System","1","3","64","U.S. Forest Service","hpms"
"Ownership","System","1","3","66","National Park Service","hpms"
"Ownership","System","1","3","67","Tennessee Valley Authority","hpms"
"Ownership","System","1","3","68","Bureau of Land Management","hpms"
"Ownership","System","1","3","69","Bureau of Reclamation","hpms"
"Ownership","System","1","3","70","Corps of Engineers","hpms"
"Ownership","System","1","3","72","Air Force","hpms"
"Ownership","System","1","3","73","Navy/Marines","hpms"
